TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE
0,10,1224
1,0,1
2,0,2
3,0,3
4,0,12
5,0,3
6,0,4
7,3,21388
8,0,4
9,0,5
10,0,3
11,0,7
12,0,1474
13,0,5
14,0,15
15,0,5
16,0,2743
17,0,5
18,0,12
19,0,10
20,0,16
21,0,6178
22,0,8
23,0,10
24,1,7155
25,0,11
26,0,4868
27,0,11
28,0,25
29,0,37
30,0,20
31,2,13388
32,0,11
33,0,16051
34,0,33
35,0,32
36,0,14
37,0,14
38,0,38
39,0,11
40,0,68
41,0,21421
42,0,19
43,0,29
44,1,12933
45,0,23
46,0,30
47,0,12
48,1,10330
49,0,53
50,0,19
51,0,36
52,0,24180
53,0,70
54,0,21
55,0,67
56,0,27
57,0,40
58,0,22
59,0,38
60,0,78
61,0,28
62,0,152
63,0,35
64,0,205
65,0,5420
66,0,51
67,4,17089
68,0,37
69,0,43
70,0,43
71,0,64
72,2,24213
73,0,45
74,0,64
75,0,65
76,0,8110
77,1,7890
78,0,54
79,0,5236
80,7,27107
81,0,4024
82,0,12109
83,0,8128
84,0,46
85,0,111
86,0,144
87,0,923
88,0,178
89,4,20810
90,0,107
91,0,88
92,0,246
93,0,34118
94,0,57
95,0,246
96,0,132
97,0,284
98,0,81
99,0,153
100,0,119
